model,accuracy,precision,recall,f1,roc_auc
xgboost,0.9985905567300916,0.9989851150202977,0.9983096686950642,0.9986472776462632,0.9999945272569966
random_forest,0.9978858350951374,0.9996607869742198,0.9962812711291413,0.9979681679647816,0.9999843280541264
