model,accuracy,precision,recall,f1,roc_auc
xgboost,0.9989676531314522,1.0,0.9978463747307968,0.9989220265900107,0.9999041567956864
random_forest,0.9972470750172058,1.0,0.994256999282125,0.9971202303815695,0.9999720061927995
